Regio's,Perioden,aantal
Nederland,2018,7857914
Nederland,2019,7924691
Nederland,2020,7997800
Nederland,2021,8043443
Groningen (PV),2018,292255
Groningen (PV),2019,293740
Groningen (PV),2020,295469
Groningen (PV),2021,296374
Fryslân (PV),2018,290335
Fryslân (PV),2019,292169
Fryslân (PV),2020,294474
Fryslân (PV),2021,295870
Drenthe (PV),2018,216373
Drenthe (PV),2019,217831
Drenthe (PV),2020,219301
Drenthe (PV),2021,220380
Overijssel (PV),2018,499031
Overijssel (PV),2019,503836
Overijssel (PV),2020,508409
Overijssel (PV),2021,512031
Flevoland (PV),2018,170802
Flevoland (PV),2019,173588
Flevoland (PV),2020,176625
Flevoland (PV),2021,178960
Gelderland (PV),2018,914369
Gelderland (PV),2019,923361
Gelderland (PV),2020,931493
Gelderland (PV),2021,938341
Utrecht (PV),2018,584265
Utrecht (PV),2019,604564
Utrecht (PV),2020,610332
Utrecht (PV),2021,613804
Noord-Holland (PV),2018,1352235
Noord-Holland (PV),2019,1362849
Noord-Holland (PV),2020,1376228
Noord-Holland (PV),2021,1381760
Zuid-Holland (PV),2018,1701657
Zuid-Holland (PV),2019,1701656
Zuid-Holland (PV),2020,1719988
Zuid-Holland (PV),2021,1729250
Zeeland (PV),2018,173950
Zeeland (PV),2019,175079
Zeeland (PV),2020,175699
Zeeland (PV),2021,177236
Noord-Brabant (PV),2018,1134720
Noord-Brabant (PV),2019,1146307
Noord-Brabant (PV),2020,1157461
Noord-Brabant (PV),2021,1165895
Limburg (PV),2018,527922
Limburg (PV),2019,529711
Limburg (PV),2020,532321
Limburg (PV),2021,533542
