,,,Perioden,,
Regio's,Onderwerp,,2019,2020,2021
Groningen (PV),Immigratie,aantal,16664,14043,22575
Groningen (PV),Emigratie,aantal,6239,6406,5665
Fryslân (PV),Immigratie,aantal,4497,3513,3349
Fryslân (PV),Emigratie,aantal,2676,2532,2520
Drenthe (PV),Immigratie,aantal,2700,1890,1865
Drenthe (PV),Emigratie,aantal,1667,1282,1532
Overijssel (PV),Immigratie,aantal,9918,8235,8734
Overijssel (PV),Emigratie,aantal,6613,5623,5946
Flevoland (PV),Immigratie,aantal,6782,4932,5558
Flevoland (PV),Emigratie,aantal,4059,3385,4180
Gelderland (PV),Immigratie,aantal,20809,17401,18677
Gelderland (PV),Emigratie,aantal,12527,11753,11218
Utrecht (PV),Immigratie,aantal,14980,11847,13268
Utrecht (PV),Emigratie,aantal,9837,8888,8436
Noord-Holland (PV),Immigratie,aantal,69450,52621,60062
Noord-Holland (PV),Emigratie,aantal,40113,37097,34987
Zuid-Holland (PV),Immigratie,aantal,65164,53501,59024
Zuid-Holland (PV),Emigratie,aantal,40468,40433,35462
Zeeland (PV),Immigratie,aantal,4282,3989,3982
Zeeland (PV),Emigratie,aantal,2972,2532,2840
Noord-Brabant (PV),Immigratie,aantal,36843,33837,39078
Noord-Brabant (PV),Emigratie,aantal,21732,19695,20221
Limburg (PV),Immigratie,aantal,16975,15044,16356
Limburg (PV),Emigratie,aantal,12126,12868,12323
