Regio's,Perioden,aantal
Nederland,2018 4e kwartaal,7814912
Nederland,2019 1e kwartaal,7830489
Nederland,2019 2e kwartaal,7848303
Nederland,2019 3e kwartaal,7866898
Nederland,2019 4e kwartaal,7891786
Nederland,2020 1e kwartaal,7909246
Nederland,2020 2e kwartaal,7927895
Nederland,2020 3e kwartaal,7944769
Nederland,2020 4e kwartaal,7966331
Nederland,2021 1e kwartaal,7987921
Groningen (PV),2018 4e kwartaal,279662
Groningen (PV),2019 1e kwartaal,279996
Groningen (PV),2019 2e kwartaal,280563
Groningen (PV),2019 3e kwartaal,281092
Groningen (PV),2019 4e kwartaal,282047
Groningen (PV),2020 1e kwartaal,283748
Groningen (PV),2020 2e kwartaal,284380
Groningen (PV),2020 3e kwartaal,284895
Groningen (PV),2020 4e kwartaal,285012
Groningen (PV),2021 1e kwartaal,285538
Fryslân (PV),2018 4e kwartaal,300238
Fryslân (PV),2019 1e kwartaal,300449
Fryslân (PV),2019 2e kwartaal,300772
Fryslân (PV),2019 3e kwartaal,301467
Fryslân (PV),2019 4e kwartaal,302578
Fryslân (PV),2020 1e kwartaal,302715
Fryslân (PV),2020 2e kwartaal,303304
Fryslân (PV),2020 3e kwartaal,303821
Fryslân (PV),2020 4e kwartaal,304693
Fryslân (PV),2021 1e kwartaal,305183
Drenthe (PV),2018 4e kwartaal,222197
Drenthe (PV),2019 1e kwartaal,222487
Drenthe (PV),2019 2e kwartaal,222466
Drenthe (PV),2019 3e kwartaal,222829
Drenthe (PV),2019 4e kwartaal,223251
Drenthe (PV),2020 1e kwartaal,223343
Drenthe (PV),2020 2e kwartaal,223571
Drenthe (PV),2020 3e kwartaal,223904
Drenthe (PV),2020 4e kwartaal,224556
Drenthe (PV),2021 1e kwartaal,225117
Overijssel (PV),2018 4e kwartaal,505343
Overijssel (PV),2019 1e kwartaal,506423
Overijssel (PV),2019 2e kwartaal,507499
Overijssel (PV),2019 3e kwartaal,508614
Overijssel (PV),2019 4e kwartaal,510296
Overijssel (PV),2020 1e kwartaal,511293
Overijssel (PV),2020 2e kwartaal,512388
Overijssel (PV),2020 3e kwartaal,513818
Overijssel (PV),2020 4e kwartaal,514993
Overijssel (PV),2021 1e kwartaal,515809
Flevoland (PV),2018 4e kwartaal,169237
Flevoland (PV),2019 1e kwartaal,169897
Flevoland (PV),2019 2e kwartaal,170561
Flevoland (PV),2019 3e kwartaal,171289
Flevoland (PV),2019 4e kwartaal,172227
Flevoland (PV),2020 1e kwartaal,172635
Flevoland (PV),2020 2e kwartaal,173103
Flevoland (PV),2020 3e kwartaal,173763
Flevoland (PV),2020 4e kwartaal,174659
Flevoland (PV),2021 1e kwartaal,175293
Gelderland (PV),2018 4e kwartaal,903256
Gelderland (PV),2019 1e kwartaal,905637
Gelderland (PV),2019 2e kwartaal,908314
Gelderland (PV),2019 3e kwartaal,910054
Gelderland (PV),2019 4e kwartaal,912372
Gelderland (PV),2020 1e kwartaal,915642
Gelderland (PV),2020 2e kwartaal,918163
Gelderland (PV),2020 3e kwartaal,920052
Gelderland (PV),2020 4e kwartaal,922524
Gelderland (PV),2021 1e kwartaal,924650
Utrecht (PV),2018 4e kwartaal,564257
Utrecht (PV),2019 1e kwartaal,580761
Utrecht (PV),2019 2e kwartaal,582489
Utrecht (PV),2019 3e kwartaal,583953
Utrecht (PV),2019 4e kwartaal,585924
Utrecht (PV),2020 1e kwartaal,587573
Utrecht (PV),2020 2e kwartaal,590296
Utrecht (PV),2020 3e kwartaal,591681
Utrecht (PV),2020 4e kwartaal,593799
Utrecht (PV),2021 1e kwartaal,595666
Noord-Holland (PV),2018 4e kwartaal,1334099
Noord-Holland (PV),2019 1e kwartaal,1336750
Noord-Holland (PV),2019 2e kwartaal,1340093
Noord-Holland (PV),2019 3e kwartaal,1343878
Noord-Holland (PV),2019 4e kwartaal,1348750
Noord-Holland (PV),2020 1e kwartaal,1351247
Noord-Holland (PV),2020 2e kwartaal,1353704
Noord-Holland (PV),2020 3e kwartaal,1355401
Noord-Holland (PV),2020 4e kwartaal,1359800
Noord-Holland (PV),2021 1e kwartaal,1364568
Zuid-Holland (PV),2018 4e kwartaal,1690166
Zuid-Holland (PV),2019 1e kwartaal,1679065
Zuid-Holland (PV),2019 2e kwartaal,1682940
Zuid-Holland (PV),2019 3e kwartaal,1687604
Zuid-Holland (PV),2019 4e kwartaal,1692888
Zuid-Holland (PV),2020 1e kwartaal,1696303
Zuid-Holland (PV),2020 2e kwartaal,1700913
Zuid-Holland (PV),2020 3e kwartaal,1705023
Zuid-Holland (PV),2020 4e kwartaal,1709692
Zuid-Holland (PV),2021 1e kwartaal,1714173
Zeeland (PV),2018 4e kwartaal,186528
Zeeland (PV),2019 1e kwartaal,186640
Zeeland (PV),2019 2e kwartaal,186980
Zeeland (PV),2019 3e kwartaal,187218
Zeeland (PV),2019 4e kwartaal,187611
Zeeland (PV),2020 1e kwartaal,187586
Zeeland (PV),2020 2e kwartaal,187880
Zeeland (PV),2020 3e kwartaal,188180
Zeeland (PV),2020 4e kwartaal,188560
Zeeland (PV),2021 1e kwartaal,188537
Noord-Brabant (PV),2018 4e kwartaal,1128847
Noord-Brabant (PV),2019 1e kwartaal,1130847
Noord-Brabant (PV),2019 2e kwartaal,1133545
Noord-Brabant (PV),2019 3e kwartaal,1136273
